No.,Time,Source,Destination,Protocol,Length,Info
8931,2130.198859,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8932,2130.199062,10.214.183.228,10.148.138.27,TLSv1.2,86,Application Data
8933,2130.199288,10.148.138.27,10.214.183.228,TCP,40,46090  >  443 [ACK] Seq=3347 Ack=39799 Win=268288 Len=0
8934,2130.199337,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8935,2130.199429,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8936,2130.199505,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8937,2130.199606,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8938,2130.199821,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8939,2130.199917,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8940,2130.199996,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8941,2130.200139,10.148.138.27,10.214.183.228,TLSv1.2,86,Application Data
8942,2130.200185,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8943,2130.200322,10.214.183.228,10.148.138.27,TCP,40,443  >  46090 [ACK] Seq=39799 Ack=3393 Win=1571840 Len=0
8944,2130.200442,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8945,2130.200524,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8946,2130.200599,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8947,2130.200707,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8948,2130.200800,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8949,2130.200883,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8950,2130.201000,10.214.183.228,10.148.138.27,QUIC,1273,Protected Payload (KP0)
8951,2130.201248,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
